Name,Description,Indian
Kanwal,Lotus,Indian
Kanwaljeet,Lotus,Indian
Kanwalkishore,Lotus; Lord krishna,Indian
Kapish,Lord Hanuman,Indian
Karan,"Karna, the firstborn of Kunti",Indian
Kareem,Kind,Indian
Karnav,Please advise us the meaning of this name.,Indian
Karnik,Judge,Indian
Kartar,Master,Indian
Karthik,"One who is born in kartik month on the Bikram Samvat calendar, originated form Nepal.",Indian
Karun,Compassionate,Indian
Karunamay,Full of light,Indian
Karunashankar,Merciful,Indian
Karunender,Nender,Indian
Kashif,Connoisseur,Indian
Kashinath,Lord Shiva,Indian
Kashiprasad,Blessed by Lord Shiva,Indian
Kassap,Please advise us the meaning of this name.,Indian
Kathith,Well recited,Indian
Kaunteya,Son of Kunti,Indian
Kausar,Lake of paradise,Indian
Kaustav,A legendary gem; a gem worn by Lord Vishnu,Indian
Kaustubh,A jewel of Lord Vishnu,Indian
Kautilya,"Tt is the ancient Sanskrit name which literally means crookedness or curvature. Also, another Name of Chanakya.",Indian
Kavan,"Water, poem",Indian
Kavi,"A wise man, poet",Indian
Kaviraj,Doctor,Indian
Kavyul,Please advise us the meaning of this name.,Indian
Kedarnath,Lord Shiva,Indian
Keman,Please advise us the meaning of this name.,Indian
Keshav,Lord Vishnu,Indian
Kevalkishore,Absolute,Indian
Kevalkumar,Absolute,Indian
Keyur,Armlet,Indian
Khadim,Servant of God,Indian
Khaja,Please advise us the meaning of this name!,Indian
Khajit,Lord Buddha,Indian
Khalid,Immortal,Indian
Khalil,Please advise us the meaning of this name!,Indian
Khan,Khan,Indian
Khan point service,Khan point service,Indian
Kharsia,Chetansh,Indian
Khazana,Treasure,Indian
Khemchand,Welfare,Indian
Khemprakash,Welfare,Indian
Khumraj,Please advise us the meaning of this name.,Indian
Khushal,Perfect,Indian
Khushbu,"Pleasant odor of flower, Scent, or perfume.",Indian
Khushi,Happy; One who is always cheerful,Indian
Kinshuk,A flower,Indian
Kiranmay,Full of light,Indian
Kirik,Sparkling,Indian
Kirit,A crown,Indian
Kirtikumar,Famous,Indian
Kishan,Lord Krishna,Indian
Kishore,Young,Indian
Kishorekumar,Young,Indian
Kismat,"Fortune, luck or destiny",Indian
Kissu,Please tell me the meaning of kissu name,Indian
Koram,Please advise us the meaning of this name.,Indian
Kotijit,Conquering millions,Indian
Koulesh,Please advise us the meaning of this name!,Indian
Koushal,Superb name,Indian
Kovida,Wise,Indian
Kriday,Lord Krishna,Indian
KRIPAL SINGH,KRIPAL SINGH,Indian
Krishanu,Fire,Indian
Krishnachandra,Lord Krishna,Indian
Krishnadeva,Lord Krishna,Indian
Krishnakanta,Lord Krishna,Indian
Krishnakumar,Lord Kirshna,Indian
Krishnala,Lord Krishna,Indian
Krishnamurari,Lord Krishna,Indian
Krishnamurthy,Lord Krishna,Indian
Krishnaroop,Dark,Indian
Krishnendu,Lord Krishna,Indian
Krithan,"Meaning devotion to god,son of krishna,",Indian
Kshaunish,King,Indian
Kuberchand,God of wealth,Indian
Kularanjan,Star of family,Indian
Kulbhushan,Ornament of family,Indian
Kulik,Well born,Indian
Kulraj,Kulraj,Indian
Kundanlal,Golden,Indian
Kundir,Strong,Indian
Kunj sutar,Kunj means the name of god krishna,Indian
Kunja,Grove of trees,Indian
Kunjabihari,Lord Krishna,Indian
Kush,Son of Lord Rama,Indian
Kushal,Clever,Indian
Kushank,Meaning of the name in hindi,Indian
Kushvar,Please advise us the meaning of this name.,Indian
Kusumakar,Spring,Indian
Lakhwinder,Please advise us the meaning of this name.,Indian
Lakra,Please advise us the meaning of this name.,Indian
Lakshin,With auspicious marks,Indian
Lakshmibanta,Fortunate,Indian
Lakshmidhar,Lord Vishnu,Indian
Lakshmigopal,Lord vishnu,Indian
Lakshmikanta,Lord Vishnu,Indian
Lalitaditya,Beautiful sun,Indian
Lalitchandra,Beautiful moon,Indian
Lalitkishore,Beautiful,Indian
Lalitkumar,Beautiful,Indian
Lalitmohan,Beautiful and attractive,Indian
Lambodar,Lord Ganesh,Indian
Lankesh,Lord of lanka,Indian
Latafat,Elegance,Indian
Latif,Elegant,Indian
Lav,Luv son of Lord Rama,Indian
Lavana,Handsome,Indian
Lavesh,God of Love.,Indian
Lavkesh,Please advise us the meaning of this name.,Indian
Lekhraj,"Derived from Sanskrit ""Lekh"" means writing or articles, and ""raj"" means (king or lord). So Lekhraj means one who is very good at writing or one with lots of knowledge.",Indian
Libesh,Please advise us the meaning of this name.,Indian
Lilender,Please advise us the meaning of this name.,Indian
Limesh,Please advise us the meaning of this name.,Indian
Liyansh,Part of vishnu,Indian
Lohitaksha,Lord Vishnu,Indian
Lokajit,Conqueror of world,Indian
Lokendar,Please advise us the meaning of this name.,Indian
Lokprakash,Light of the world,Indian
Lokranjan,Lord Vishnu,Indian
Love,Love,Indian
Lubbish,Please advise us the meaning of this name.,Indian
Lunyel,Please advise us the meaning of this name.,Indian
Maaz,Please advise us the meaning of this name.,Indian
Madanapal,Lord of Love,Indian
Madangopal,Lord Krishna,Indian
Madhavdas,Servant of Lord Krishna,Indian
Madhuk,A honeybee,Indian
Madhukanta,The moon,Indian
Madhumay,Consisting of honey,Indian
Madhusudhana,"Krishna, one who killed demon Madhu",Indian
Madin,Delightful,Indian
Madur,A bird,Indian
Magadh,Son of Yadu,Indian
Mahabahu,Arjuna,Indian
Mahabala,Great strength,Indian
Mahabeer,Please advise us the meaning of this name.,Indian
Mahadhyut,I need meaning,Indian
Mahaj,A noblel descent,Indian
Mahanidhi,A great treasure house,Indian
Mahaniya,Worthy of honour,Indian
Mahanth,Great,Indian
Maharath,A great charioteer,Indian
Maharth,Very truthful,Indian
Maheepati,The king,Indian
Mahevish,Please advise us the meaning of this name.,Indian
Mahijith,Conqueror of the earth,Indian
Mahim,Please advise us the meaning of this name.,Indian
Mahin,The earth,Indian
Mahindra,A king,Indian
Mahipal,A king,Indian
Mahir,Expert,Indian
Mahish,A king,Indian
Mahith,Honoured,Indian
Mahmud,The Prophet of Islam,Indian
Mahtab,The moon,Indian
Mainak,A mountain a Himalayan peak,Indian
Makarand,Bee,Indian
Makul,A bud,Indian
Makur,Mirror,Indian
Malay,A mountain,Indian
Male boy,I want boy name with combination of Ashutosh and Richa,Indian
Manajith,One who conquered the mind,Indian
Manasyu,"Wishing, desiring",Indian
Manchak,Please advise us the meaning of this name.,Indian
Mandan,Adorning,Indian
Mandeep,Light of the mind,Indian
Mandhatri,Prince,Indian
Mandin,Delighting,Indian
Mandir,Temple,Indian
Mandith,Adorned,Indian
Manibhushan,Supreme gem,Indian
Manikandan,Another name for Lord Ayyappa,Indian
Maniram,Jewel of a person,Indian
Manish kumar,Manish kumar,Indian
Manish kumar singh,Best name,Indian
Manith,Honoured,Indian
Mankirt,Please advise us the meaning of this name.,Indian
Manmatha,Cupid,Indian
Mannan,Meditate,Indian
Mannath,A vow to a deity,Indian
Mannith,Chosen,Indian
Manonith,Carried by the mind,Indian
Manoth,Born of the mind,Indian
Manprasad,Mentally calm and cool person,Indian
Mansoor,Please advise us the meaning of this name.,Indian
Mansukh,Pleasure of mind,Indian
Manth,Thought,Indian
Manthan,Please advise us the meaning of this name.,Indian
Manti Devi,Please advise us the meaning of this name.,Indian
Mantsha,Please advise us the meaning of this name.,Indian
Manuj,Son of Manu,Indian
Manvi,Krishna,Indian
Manvith arya,Manvith arya,Indian
Manyu,Mind,Indian
Maqsood,Intended. Proposed,Indian
Marathi chawa,Marathi chawa,Indian
Mardav,Softness,Indian
Mareechi,Ray of light,Indian
Marshnil,Marshnil is named after a place that belong to the flower.,Indian
Mart,Mart,Indian
Martand,Sun,Indian
Martanda,The sun,Indian
Marut,The wind,Indian
Maruti,Lord Hanuman,Indian
Masud,"One who is ""fortunate, ""prosperous"", or ""happy"".",Indian
Mayank,Moon,Indian
Mayanka,The moon,Indian
Mazhar,Mazhar,Indian
MD GULAB,Hi kaise ho,Indian
Meghashyam,Lord Krishna,Indian
Meghdutt,Gift of clouds,Indian
Meghnad,Thunder,Indian
Mehboob,Beloved,Indian
Mehdi,A flower,Indian
Mehmood,The Prophet of Islam,Indian
Mekansh,Osjiemdomdkdkxokeje0,Indian
Mekhal,"Girdle, belt",Indian
Memo,Memo,Indian
Meru,"Famous mountain in Hindu mythology, high point",Indian
Michael,An amazing boyfriend and great person,Indian
Milun,Union,Indian
Minaj,Please advise us the meaning of this name.,Indian
Minhaaz,Please advise us the meaning of this name.,Indian
Mirza,A prince,Indian
Misal,Example,Indian
Mithil,Kingdom,Indian
Mithtinderjeet,Lord Krishna,Indian
Mitiyance,Please advise us the meaning of this name.,Indian
Mivaan,Please advise us the meaning of this name.,Indian
Mofiz,Please advise us the meaning of this name.,Indian
Mohajit,Attractive,Indian
Mohal,Attractive,Indian
Mohamad,The Prophet,Indian
Mohammad,Please advise us the meaning of this name!,Indian
Mohammad Ameen,Mohammad Altaf,Indian
Mohammad ishrayal,Mohammad ishrayal,Indian
Mohd shafeeq Saifi,Alish,Indian
Mohin,Attractive,Indian
Mohul,Attractive,Indian
Monal,Please advise us the meaning of this name.,Indian
Monish,Lord of mind,Indian
Monit,Please advise us the meaning of this name.,Indian
Monu,Please advise us the meaning of this name!,Indian
Morbi,Please advise us the meaning of this name.,Indian
Moti,Pearl,Indian
Motilal,Pearl,Indian
Moulik,Valuable,Indian
Mriganka,The moon,Indian
Mrigankamouli,Lord Shiva,Indian
Mrigankasekhar,Lord Shiva,Indian
Mubarak,Congratulations,Indian
Mudit,Means happy,Indian
Mudita,Happy,Indian
Mudresh,Please advise us the meaning of this name!,Indian
Muhamad,The Prophet,Indian
Muktananda,Liberated,Indian
Mulkraj,King,Indian
Mumtaz,Conspicuous,Indian
Muneer,Please advise us the meaning of this name!,Indian
Murad,Prowess,Indian
Muralidhar,Lord Krishna,Indian
Muralimanohar,Lord Krishna,Indian
Murarilal,Lord Krishna,Indian
Musaraf,Please advise us the meaning of this name.,Indian
Musheer,Advice,Indian
Muzamil shaikh,Muzamil farukh shaikh,Indian
Muzammil,Please advise us the meaning of this name.,Indian
Nabarun,Morning sun,Indian
Nabhanyu,Eternal,Indian
Nabhas,Sky,Indian
Nabhi,Focus; the best,Indian
Nabhith,Fearless,Indian
Nachiketa,"An ancient rishi, fire",Indian
Nadal,Fortunate,Indian
Nadim,Please advise us the meaning of this name.,Indian
Nadin,Lord of rivers,Indian
Nadir,Pinnacle,Indian
Nagarin,Lord of a town,Indian
Nagarjun,Best among the snakes,Indian
Nahusha,A mythological king,Indian
Nairit,South-west,Indian
Naishadh,"King Nala, a hero from the Mahabharata who was king of Nishadha",Indian
Naitik,Shiksha,Indian
Najmul,Please advise us the meaning of this name.,Indian
Naksh,Please advise us the meaning of this name!,Indian
Nalinaksha,Lotus-eyed,Indian
Namasyu,Bowing,Indian
Namay,Please advise us the meaning of this name.,Indian
Nambi,Self confident,Indian
Namdev,"Poet, saint",Indian
Namesh,What is the meaning of namesh,Indian
Namit,Polite; Bowed down or Modest,Indian
Nand,Joyful,Indian
Nandi,One who pleases others,Indian
Naotau,New,Indian
Narayana,"Vishnu, refuge of man",Indian
Narhari,Man-lion,Indian
Narinder,The King,Indian
Narmad,Bringing delight,Indian
Narodish,Please advise us the meaning of this name.,Indian
Narsimha,Lion among men,Indian
Narun,Leader of men,Indian
Nateel,Please advise us the meaning of this name.,Indian
Nathan,Controller,Indian
Nathin,Protected,Indian
Naval,Wonder,Indian
Navalan,Orator,Indian
Navaneet,Butter,Indian
Naveen,New,Indian
Navin,New,Indian
Navjot,Please advise us the meaning of this name.,Indian
Navkaran,Please advise us the meaning of this name.,Indian
Navneet,Please advise us the meaning of this name.,Indian
Navratri,Shiv Narayan Pal,Indian
Navroz,A Parsee festival,Indian
Nawada,Sudarshan Chauhan singhaniya,Indian
Nawaz shaikh,Nawaz,Indian
Nayath,Leading,Indian
Nazreen,Please advise us the meaning of this name.,Indian
Nedumaan,Prince,Indian
Nedumaran,Tall and handsome,Indian
Needu,Please advise us the meaning of this name.,Indian
Neeladri,The Nilgiris,Indian
Neelanjan,Blue,Indian
Neelansh,"Part(Ansh)of Lord Shiv(Neel), Neel also refers to Lord Krishna, Lord Shani... Means Gift of God",Indian
Neelkanta,Lord Shiva,Indian
Neelkanth,"Peacock, Shiva",Indian
Neelmadhav,Lord Jagannath,Indian
Neelmani,Sapphire,Indian
Neelotpal,Blue lotus,Indian
Neeraf,River,Indian
Neeraj,Lotus,Indian
Negi,Please advise us the meaning of this name.,Indian
Neshat,Please advise us the meaning of this name!,Indian
Nikhat,Fragrance,Indian
Nikunj,Loving Home; Bower; Arbour; Lord Krishna,Indian
Nilambuj,Please advise us the meaning of this name!,Indian
Nilay,Heaven,Indian
Nilmani,Please advise us the meaning of this name.,Indian
Nimai,Chaitanya,Indian
Nimish,Spilt-second,Indian
Ninad,"Sound, gentle sound of water",Indian
Nirad,Given by water,Indian
Niraj,Lotus flower,Indian
Niramay,Without blemish,Indian
Niramitra,Son of pandava Sahadeva,Indian
Nirav,Without sound,Indian
Nirbhay,Fearless,Indian
Nirijhar,Waterful,Indian
Nirmalya,Pure,Indian
Nirmanyu,Free of anger,Indian
Nirmit,Created,Indian
Nirmohi,Unattached,Indian
Niryansh,Please advise us the meaning of this name.,Indian
Nischith,Fixed,Indian
Nishanath,Moon,Indian
Nishant,Dawn,Indian
Nisharul,Male,Indian
Nishikanta,The moon,Indian
Nishita,Sharp,Indian
Nishith,Night,Indian
Nishkama,Selfless,Indian
Nissim,Unbounded,Indian
Niteesh,"God of law, one well versed in law",Indian
Nithik,Master of justice,Indian
Nithilan,Brilliant like a pearl,Indian
Nitin,Master of the right path,Indian
Nitish,Master of the right path,Indian
Nityagopal,Constant,Indian
Nityanand,Perennially happy,Indian
Nityananda,Lord Krishna; always happy,Indian
Nityansh,Please provide the meaning of Nityansh,Indian
Nityasundar,Ever good-looking,Indian
Niviyansh,Please provide the meaning of Niviyansh,Indian
Nivrutti,Separation from world,Indian
Niyath,Behaviour,Indian
Nothing,My name meaning,Indian
Ogam,Please advise us the meaning of this name.,Indian
Oha,"Meditation, true knowledge",Indian
Ohas,Praise,Indian
Ojas,Body strength,Indian
Omanand,Joy of Om,Indian
Omar,An era,Indian
Omja,Born of cosmic unity,Indian
Omrao,Umrao king,Indian
Omswaroop,Manifestation of divinity,Indian
Onish,General store,Indian
Oojam,Enthusiasm,Indian
Oorjit,Powerful,Indian
Oppilmani,Purest of gems,Indian
Oraif,Please advise us the meaning of this name.,Indian
Ori,Charitable king,Indian
Osho,A high-ranking Buddhist monk or highly virtuous Buddhist monk,Indian
Osman,Usman salve of God,Indian
Ottakoothan,Poet,Indian
Oviyan,Artist,Indian
Paarth,Please advise us the meaning of this name.,Indian
Paavan,Purifier,Indian
Pachai,"Youthful, resourceful",Indian
Pachaimani,"Youthful, resourceful",Indian
Pachaimuthu,"Youthful, resourceful",Indian
Padman,Lotus,Indian
Padmanabh,One with lotus in his navel i.e. Vishnu,Indian
Padmapati,Lord Vishnu,Indian
Palak,Eyelash,Indian
Palani,Abode of Lord Murugan,Indian
Palaniappan,Another name for Lord Murugan,Indian
Palanikumar,Another name for Lord Murugan,Indian
Palanimurugan,Another name for Lord Murugan,Indian
Palanisami,Another name for Lord Murugan,Indian
Palanivel,Another name for Lord Murugan,Indian
Palashkusum,The flower of Palash,Indian
Palashranjan,Beautiful like a Palash,Indian
Panchanan,Lord Shiva,Indian
Pandhari,Lord Vithobha,Indian
Panduranga,One with pale white complexion,Indian
Panini,The great scholar-grammarian,Indian
Panmoli,Speaks sweetly,Indian
Pannalal,Emerald,Indian
Panvik,Please advise us the meaning of this name.,Indian
Parag,Pollen grains,Indian
Param,The best,Indian
Paramartha,Highest truth,Indian
Paramhansa,Supreme soul,Indian
Paramjeet,Highest success,Indian
Paramjit,Please advise us the meaning of this name.,Indian
Paramnoor,Please advise us the meaning of this name!,Indian
Parantapa,Conqueror; Arjuna,Indian
Paras,Touchstone,Indian
Parashuram,Sixth incarnation of Lord Vishnu,Indian
Parasmani,Touchstone,Indian
Paravasu,Name of a sage,Indian
Pardeep,Please advise us the meaning of this name.,Indian
Parees,Touch stone,Indian
Pariket,Against desire,Indian
Parin,Another name for Lord Ganesha,Indian
Parindra,Lion,Indian
Parnad,A Brahmin in the qpics,Indian
Paromita,Prince,Indian
Parsa paswan,Paras paswan,Indian
Parth,"In Sanskrit ""Parth"" means Archer who never misses his target. This in why in a mythical epic ""Mahabharat"", God Krishna used to call Arjun by the name Parth.",Indian
Parthapratim,Like Arjuna,Indian
Parthiv,Earthly or Prince of earth,Indian
Parvatinandan,Lord Ganesh,Indian
Pasupati,Lord Shiva,Indian
Patakin,Holder of a banner,Indian
Patanjali,Famous Yoga philosopher,Indian
Pataram dewasi,Pataram dewasi,Indian
Pathin,Traveller,Indian
Patralika,New leaves,Indian
Pavak,Fire,Indian
Pavalan,Skilled in literature,Indian
Pavan,Wind,Indian
Pavitra,Pure,Indian
Payas,Water,Indian
Payod,Cloud,Indian
Peeyush,Nectar,Indian
Peher,A unit of time in ancient India. 1peher=3Hours,Indian
Perth,Perth meaning,Indian
Perumal,Lord Venkateshwara,Indian
Phagunu,Please advise us the meaning of this name.,Indian
Phaninath,. lord of serpents,Indian
Phanishwar,. king of serpents,Indian
Phenil,Foamy,Indian
Phoolendu,. full moon,Indian
Pinak,Shiva's bow,Indian
Pinaki,Lord Krishna,Indian
Pingal,Please advise us the meaning of this name!,Indian
PINKUR,PINKUR,Indian
Pintu,Please advise us the meaning of this name!,Indian
Pirmohammed,Rhw holy prophet,Indian
Ponnan,Precious,Indian
Poorna,Complete,Indian
Poornachandra,Full moon,Indian
Popli,One with a creative nature that takes you into many venture,Indian
Post achalpur dist anuppur m p,Pappu prasad sant morche,Indian
Prabodhan,Knowledge,Indian
Prachetas,Energy,Indian
Prachur,Abundant,Indian
Pradnesh,Lord of wisdom,Indian
Pradosh,Dusk,Indian
Pradyun,Radiant,Indian
Praful,Blooming,Indian
Prahant Chaudhary,Prashant Is a unique Name,Indian
Prahlad,Excess of joy,Indian
Prajeet,Victorious,Indian
Prajin,Kind,Indian
Prajvan,Name of meaning,Indian
Prakank,Please advise us the meaning of this name.,Indian
Prakash Chandra,Please advise us the meaning of this name.,Indian
Prakriti,Nature,Indian
Pralay,Himalay,Indian
Pramath,Horse,Indian
Pran,Life,Indian
Pranet,Leader,Indian
Pranjal,Simple,Indian
Pranjivan,Life,Indian
Pranshu,Another name for lord Vishnu; Tall.,Indian
Pransukh,Joy of life,Indian
Prasenjit,A king in the epics,Indian
Prasham,Peace,Indian
Prashanta,Calm,Indian
Prasiddhi,"Accomplishment, fame",Indian
Prasoon,Flower,Indian
Prateek,"Symbol, first word in a sentence",Indian
Prateep,"King, Shantanu's father",Indian
Prateet,Manifested,Indian
Pratham,Pratham,Indian
Pratiti,Faith; undrstanding,Indian
Pratul,Plenty,Indian
Pratulay,Please advise us the meaning of this name.,Indian
Praval,"Fierce, strong",Indian
Pravar,Chief,Indian
Pravendra,Please advise us the meaning of this name.,Indian
Praver,Chief,Indian
Prayank,A Mountain,Indian
Preet,Please advise us the meaning of this name.,Indian
Preetish,God of love,Indian
Prem kumar,A Virgin Lover,Indian
Premanand,Joy of love,Indian
Premendra,Lover,Indian
Princr,Prince,Indian
Prithvi,Earth,Indian
Prithvijaj,King of the earth,Indian
Prithviraj,King of the earth,Indian
Priyabrata,Devoted to pleasing,Indian
Priyankesh,Please advise us the meaning of this name.,Indian
Priyaranjan,Beloved,Indian
Promit,Please advise us the meaning of this name.,Indian
Pruthav,Please advise us the meaning of this name.,Indian
Pugal,"Glory, fame",Indian
Pugalendhi,"Glorious, admirable",Indian
Pukhraj,Topaz,Indian
Pulak,Joy,Indian
Pulakesh,Joyous,Indian
Pulastya,An ancient,Indian
Pulin,Beautiful,Indian
Pulish,Name of a sage,Indian
Pulit,Please advise us the meaning of this name.,Indian
Pundalik,Lotus,Indian
Pundarik,White lotus,Indian
Puneet,Pure,Indian
Punesh,Please advise us the meaning of this name.,Indian
Punit,Pure,Indian
Punyabrata,Dedicated to the good,Indian
Punyasloka,Sacred verse,Indian
Purandar,Lord Indra,Indian
Puranjay,Lord Shiva,Indian
Purnanada,God,Indian
Purujit,Conqueror of city,Indian
Purumitra,Friend of city,Indian
Pururava,The founder of Chandra dynasty,Indian
Pushpak,Mythical vehicle of Lord Vishnu,Indian
Puskara,"Blue lotus, fountain",Indian
Pyarelal,Lord Krishna,Indian
Pyaremohan,Lord Krishna,Indian
Qatadah,Tree with hard wood,Indian
Quamar,The moon,Indian
Quasim,Old generation,Indian
Qudamah,Courage,Indian
Qutub,Tall,Indian
R aur n,Mere baby ka name r aur n aana chahiye,Indian
Radhak,Liberal,Indian
Radhakanta,Lord Krishna,Indian
Radhakrishna,Radha and Lord Krishna,Indian
Radhatanaya,Son of Radha,Indian
Radhavallabh,Lord Krishna-beloved of Radha,Indian
Radheshyam,Lord Krishna,Indian
Radheya,Karna,Indian
Rafat,Elevation,Indian
Rafftar,Please advise us the meaning of this name.,Indian
Raghav,Lord Rama,Indian
Raghavendra,Lord Rama,Indian
Raghunandan,Lord Rama,Indian
Raghunath,Lord Rama,Indian
Raghupati,Lord Rama,Indian
Raghuveer,Hindi to eiglish,Indian
Raghuvir,Lord Rama,Indian
Rahas,Secret,Indian
Rahat,"In Arabic, ""rahat"" means ""relief"" or ""groups"". In Hebrew, ""rahat"" means ""trough"".",Indian
Raheem,Merciful,Indian
Rahman,Merciful,Indian
Raio,Please advise us the meaning of this name.,Indian
Raisav,Please advise us the meaning of this name.,Indian
Raish Sheikh,Raish Sheikh,Indian
Raivath,Wealthy,Indian
Raj Anand,What is meaning of this name,Indian
Rajak,Illuminating,Indian
Rajam,Goddess Lakshmi,Indian
Rajanikant,"Sun, lord of night",Indian
Rajanikanta,Moon,Indian
Rajanya,Kingly,Indian
Rajas,Mastery; fame; pride,Indian
Rajat,Silver,Indian
Rajatshubhra,White as silver,Indian
Rajeev,Blue lotus,Indian
Rajendrakumar,King,Indian
Rajendramohan,King,Indian
Rajeshkumar,Rajeshkumar,Indian
Rajev,Please advise us the meaning of this name.,Indian
Rajmal,Please advise us the meaning of this name!,Indian
Rajneesh,King of the gods.,Indian
Raju,Please advise us the meaning of this name.,Indian
Rajvansh,From a King Family; Dynasty of King,Indian
Rakesh kumar ranjan,Rakesh meera,Indian
Rakibul,Please advise us the meaning of this name.,Indian
Rakshan,Protector,Indian
Ramakanta,Lord Vishnu,Indian
Ramansh,Ramansh mean part of Lord Rama,Indian
Ramanuja,Born after Rama i.e. Lakshman,Indian
Ramashray,Lord Vishnu; protected by Rama,Indian
Ramavatar,Reincarnation of Lord Rama,Indian
Ramesh paresha,Ramesh Paresha,Indian
Ramith,Loved,Indian
Ramkishore,Lord Rama,Indian
Ramkumar,Lord Rama,Indian
Rammeha,Please advise us the meaning of this name!,Indian
Rammohan,Lord Rama,Indian
Ramnath,Lord Rama,Indian
Ramprasad,Lord Rama,Indian
Rampratap,Lord Rama,Indian
Ramratan,Lord Rama,Indian
Ramswaroop,Lord Rama,Indian
Ranajay,Victorious,Indian
Rangan,A flower,Indian
Ranganath,Lord Vishnu,Indian
Rangith,Well couloured,Indian
Ranjay,Please advise us the meaning of this name.,Indian
Ranjeet,Victor in wars,Indian
Ranjeet saxena,Ranjeet saxena gram jhakrai post akbarpur kot aliganj distt etah,Indian
Ranjit,Victorious,Indian
Rasaraj,Mercury,Indian
Rasbihari,Lord Krishna,Indian
Rasdeep,Please advise us the meaning of this name.,Indian
Rasesh,Lord Krishna,Indian
Rashmil,Silken,Indian
Rasul,Angel,Indian
Ratan,Precious stone,Indian
Ratannabha,Lord Vishnu,Indian
Rathik,One who rides a chariot,Indian
Rathin,Celestial,Indian
Rathore,One of a Rajput clan of Nepal.,Indian
Ratjang,Please advise us the meaning of this name.,Indian
Rauf,Please advise us the meaning of this name.,Indian
Ravi,Sun,Indian
Ravi Kant,Net Service,Indian
Ravikant,Please advise us the meaning of this name.,Indian
Ravinandan,Karna,Indian
Ravishu,Cupid,Indian
Rawinder,Please advise us the meaning of this name.,Indian
Rayyan,Hindi meaning,Indian
Raza,Hope,Indian
Razak,Devotee,Indian
Rebanta,A son of Surya,Indian
Redhvi,Please advise us the meaning of this name.,Indian
Rehman,Merciful,Indian
Rehmat,Mercy,Indian
Renyam,Please advise us the meaning of this name.,Indian
Ridaant,Puneet sharma,Indian
Ridhinesh,Please advise us the meaning of this name.,Indian
Ridhyan,Please advise us the meaning of this name.,Indian
Rikas,Please advise us the meaning of this name.,Indian
Riman,Riman,Indian
Rinkesh,Please advise us the meaning of this name.,Indian
Ripudaman,Killer of enemies,Indian
Rishabh,Morality,Indian
Ritesh,Of Sanskrit origin it means Lord of seasons or Lord of truth.,Indian
Ritheen,Ritheen means when two souls meets to be one.,Indian
Ritik,"Truthful; Name of a Hindu Sage, From the heart",Indian
Rituparan,Joyous,Indian
Rituraj,Spring,Indian
Ritvik,Priest,Indian
Riyaan,Please advise us the meaning of this name.,Indian
Riyan,Riyan,Indian
Riyaz,Practice,Indian
Riyom,Please advise us the meaning of this name.,Indian
Rizaul,Please advise us the meaning of this name.,Indian
Rizvan,Harbinger of good news,Indian
Rochak,Tasty,Indian
Rochasman,Rochasman,Indian
Rohanlal,Lord Krishna,Indian
Rohitasva,Son of King Harishchandra,Indian
Rojitpur,Bvdhbchnb,Indian
Ronit,Please advise us the meaning of this name!,Indian
Ronit kumar,He love music,Indian
Roonik,Please advise us the meaning of this name.,Indian
Rubal anand,Padh nhi pate,Indian
Ruby,Please advise us the meaning of this name.,Indian
Rudransh,Rudra Face of Bhagwan Mahadev Ansh,Indian
Rushab,Please advise us the meaning of this name.,Indian
Rustom,Warrior,Indian
Rutajit,Conquerer of truth,Indian
Rutujit,Conquerer of seasons,Indian
Saad,"In Arabic, it means felicity, happiness, prosperity, success and good luck",Indian
Saajan,Please advise us the meaning of this name!,Indian
Sabarinathan,Lord Ayyapa,Indian
Sabhya,Refined,Indian
Sabul,Please advise us the meaning of this name!,Indian
Sacchidananda,Total bliss,Indian
Sadaiappan,Lord Siva,Indian
Sadanand,Ever joyous,Indian
Sadashiva,Eternally pure,Indian
Saday,Please advise us the meaning of this name.,Indian
Saddam,Please advise us the meaning of this name!,Indian
Saddam Husain,Cdkjhh,Indian
Sadeepan,Lighted up,Indian
Sadiq,Kingly,Indian
Saeed,Priestly,Indian
Saeed alam,Saeed alam,Indian
Safik,Please advise us the meaning of this name.,Indian
Safvi,Please advise us the meaning of this name.,Indian
Sahance,Please advise us the meaning of this name.,Indian
Sahay,Help,Indian
Sahib,The lord,Indian
Sahil,Guide,Indian
Saideep,Please advise us the meaning of this name.,Indian
Saif,Please advise us the meaning of this name.,Indian
Sainath,Saibaba,Indian
Saini,Please advise us the meaning of this name!,Indian
Saipraasad,Blessing,Indian
Saipratap,Blessing of Saibaba,Indian
Sajjad,Please advise us the meaning of this name.,Indian
Salaman,High,Indian
Salarjung,Beautiful,Indian
Saleem,Healthy,Indian
Salikram,Please advise us the meaning of this name.,Indian
Salil,Water,Indian
Salim,Happy; peaceful,Indian
Samantha,Bordering,Indian
Samarendra,Lord Vishnu,Indian
Samarendu,Lord Vishnu,Indian
Samarth,Powerful,Indian
Samay,Please advise us the meaning of this name.,Indian
Sambaran,Restraint; name of an ancient king,Indian
Sambhddha,Wise,Indian
Sambhnika,Lord Shiva wife,Indian
Sambhu,Lord Shiva,Indian
Sameen,Valuable,Indian
Sameer Kumar,Adhyansh name meaning,Indian
Samendra,Winner of war,Indian
Samerjot,Samerjot name means victory of war,Indian
Samgram,Host,Indian
Sammath,Agreed,Indian
Sampat,Prosperous,Indian
Samrkand,Please advise us the meaning of this name.,Indian
